,0,1,2,3,4,5,6,7,8,9,10,11
70,1606435200000,1.8919,1.9656,1.7907,1.8545,9613.74000000,1606521599999,18006.0841,177,5254.00000000,9915.7730,0
71,1606521600000,1.8475,1.9368,1.8097,1.8911,7078.71000000,1606607999999,13359.3736,132,4510.98000000,8519.7660,0
72,1606608000000,1.8751,1.9489,1.8666,1.9142,4358.98000000,1606694399999,8332.3511,77,1741.82000000,3318.0675,0
73,1606694400000,1.9358,2.0121,1.9150,1.9782,7922.88000000,1606780799999,15613.6043,165,4719.60000000,9293.2753,0
74,1606780800000,1.9656,2.1194,1.9359,1.9850,13879.55000000,1606867199999,28005.3754,222,6247.27000000,12590.5453,0
75,1606867200000,1.9564,2.2000,1.9500,2.1040,16230.56000000,1606953599999,34354.5695,235,8800.55000000,18679.2649,0
76,1606953600000,2.1258,2.2233,2.0843,2.1000,20798.71000000,1607039999999,44697.5644,327,7778.70000000,16842.5727,0
77,1607040000000,2.1086,2.1101,1.8814,1.8814,18788.08000000,1607126399999,37921.0924,361,7374.60000000,15082.3137,0
78,1607126400000,1.8531,1.9775,1.8490,1.9770,4280.11000000,1607212799999,8128.8022,107,2499.99000000,4748.1057,0
79,1607212800000,1.9833,1.9833,1.8260,1.8453,11106.86000000,1607299199999,21053.4188,204,3156.23000000,5989.9231,0
80,1607299200000,1.8564,1.8925,1.8118,1.8289,8564.36000000,1607385599999,15792.0762,117,2963.18000000,5469.4434,0
81,1607385600000,1.8268,1.8273,1.6500,1.6810,35259.66000000,1607471999999,60487.3752,288,9579.51000000,16629.1587,0
82,1607472000000,1.6588,1.6729,1.5021,1.6657,21306.65000000,1607558399999,34769.8660,279,17426.84000000,28463.4989,0
83,1607558400000,1.6546,1.6637,1.5496,1.5840,19967.31000000,1607644799999,32333.9080,266,11534.86000000,18635.8970,0
84,1607644800000,1.5596,1.5596,1.4334,1.4497,22754.92000000,1607731199999,34133.5485,182,17451.13000000,26192.6338,0
85,1607731200000,1.4552,1.5398,1.4479,1.4943,7937.93000000,1607817599999,11872.2521,111,4817.79000000,7265.1527,0
86,1607817600000,1.4947,1.6496,1.4656,1.5694,16791.47000000,1607903999999,26349.7011,136,9556.76000000,15002.0466,0
87,1607904000000,1.5464,1.6134,1.5254,1.5963,10582.68000000,1607990399999,16730.1574,146,6238.34000000,9885.8358,0
88,1607990400000,1.6280,1.7962,1.6280,1.7416,51615.03000000,1608076799999,89077.1570,356,28063.83000000,48539.0030,0
89,1608076800000,1.7549,1.7900,1.6076,1.7881,29791.90000000,1608163199999,50200.6273,331,12606.96000000,21240.8578,0
90,1608163200000,1.7975,1.8000,1.6507,1.6747,24953.60000000,1608249599999,43116.4062,344,11135.62000000,19447.1156,0
91,1608249600000,1.6584,1.7000,1.6391,1.6919,9293.13000000,1608335999999,15511.0659,149,5590.65000000,9362.9109,0
